MONTH,ZONE,CIRCLE,DIVISION CODE,DIVISION,OVERALL Input Energy Prog (MU),OVERALL Unit Sold Prog (MU),OVERALL Distribution Loss Prog (%),OVERALL Current Assessment With ED Prog (Lakh),OVERALL  Realisation Prog(Lakh),OVERALL % Realisation Prog,OVERALL ATC Loss,OVERALL Realisation Rate Input Prog (Rs / Unit),OVERALL Realisation Rate Sold Prog (Rs / Unit),GOVERNMENT Unit Sold Prog Govt (MU),GOVERNMENT Current Assessment With ED Prog Govt (Lakh),GOVERNMENT Realisation Prog Govt (Lakh),GOVERNMENT % Realisation Prog Govt,GOVERNMENT ATC Loss Prog Govt,NON GOVERNMENT Unit Sold Prog Non Govt (MU),NON GOVERNMENT Current Assessment With ED Prog on Govt (Lakh),NON GOVERNMENT Realisation Prog Non Govt (Lakh),NON GOVERNMENT % Realisation Prog Non Govt,NON GOVERNMENT ATC Loss Prog Non Govt
April-26,AGRA,EDC AGRA,DIV251541,"EDD SIKANDARA, AGRA",50.33,37.82,24.86,2813.93,2796.51,99.38,25.33,5.56,7.4,4.91,421.96,332.33,78.76,40.82,32.91,2391.97,2464.18,103.02,22.59
April-26,AGRA,EDC AGRA,DIV251542,"EDD LAKHANPUR, AGRA",29.71,22.32,24.87,1579.02,1539.38,97.49,26.76,5.18,6.9,0.26,31.71,91.08,287.23,-115.8,22.06,1547.3,1448.29,93.6,29.68
April-26,AGRA,EDC AGRA,DIV251544,"EDD KIRAWALI, AGRA",26.58,19.67,25.99,1068.68,803.2,75.16,44.38,3.02,4.08,1.74,162.92,0,0,100,17.94,905.76,803.2,88.68,34.37
April-26,AGRA,EDC AGRA,DIV251543,EDD KHAIRAGARH,23.77,17.59,26,809.93,626.55,77.36,42.76,2.64,3.56,1.67,94.37,0,0,100,15.92,715.56,626.55,87.56,35.21
April-26,AGRA,EDC FATEHABAD,DIV251511,EDD BAH,29.23,24.23,17.1,1177.85,1067.76,90.65,24.85,3.65,4.41,5.86,592.57,589.3,99.45,17.56,18.37,585.28,478.46,81.75,32.23
April-26,AGRA,EDC FATEHABAD,DIV251512,EDD ETMADPUR,35.98,26.72,25.74,1574.2,1445.46,91.82,31.81,4.02,5.41,1.18,107.28,59.43,55.39,58.86,25.54,1466.92,1386.03,94.49,29.83
April-26,AGRA,EDC FATEHABAD,DIV251513,"EDD FATEHABAD, AGRA",51.57,40.04,22.36,1942.74,1347.34,69.35,46.15,2.61,3.36,2.83,176.93,0.03,0.02,99.99,37.21,1765.81,1347.31,76.3,40.76
April-26,ALIGARH,EDC I ALIGARH,DIV211241,"EDD SARSOL, ALIGARH",28.4,25.64,9.72,1458.09,1323.95,90.8,18.03,4.66,5.16,0.85,86.78,8.11,9.35,91.56,24.78,1371.31,1315.84,95.95,13.37
April-26,ALIGARH,EDC I ALIGARH,DIV211242,"EDD ATRAULI, ALIGARH",23.61,22.79,3.44,1094.65,1088.02,99.39,4.02,4.61,4.77,0.36,41,0,0,100,22.43,1053.65,1088.02,103.26,0.29
April-26,ALIGARH,EDC I ALIGARH,DIV211243,"EDD TALANAGRI, ALIGARH",28,25.34,9.49,1573.51,1638.97,104.16,5.72,5.85,6.47,0.46,50.01,0,0,100,24.89,1523.5,1638.97,107.58,2.63
April-26,ALIGARH,EDC II ALIGARH,DIV211261,"EDD IGLAS, ALIGARH",32.12,29.4,8.45,1352.3,1014.55,75.02,31.32,3.16,3.45,0.24,25.38,40.21,158.44,-45.06,29.16,1326.92,974.34,73.43,32.78
April-26,ALIGARH,EDC II ALIGARH,DIV211262,"EDD KHAIR, ALIGARH",33.42,30.69,8.17,789.34,725.31,91.89,15.62,2.17,2.36,0.29,30.88,0,0,100,30.4,758.46,725.31,95.63,12.18
April-26,ALIGARH,EDC II ALIGARH,DIV211263,"EDD AKRABAD, ALIGARH",25.29,20.36,19.5,787.45,529.92,67.3,45.83,2.1,2.6,0.28,28.9,0,0,100,20.08,758.55,529.92,69.86,43.76
April-26,ALIGARH,EUDC ALIGARH,DIV211211,EUDD I ALIGARH,27.12,20.93,22.82,1694.15,1871.43,110.46,14.74,6.9,8.94,2.02,191.1,0.11,0.06,99.96,18.91,1503.05,1871.32,124.5,3.91
April-26,ALIGARH,EUDC ALIGARH,DIV211212,EUDD II ALIGARH,22.52,17.58,21.95,1301.85,1760.77,135.25,-5.56,7.82,10.02,0.91,89.51,0,0,100,16.66,1212.34,1760.77,145.24,-13.36
April-26,ALIGARH,EUDC ALIGARH,DIV211213,EUDD III ALIGARH,25.44,19.01,25.24,1582.77,2093.04,132.24,1.14,8.23,11.01,1.06,100.73,0,0,100,17.96,1482.04,2093.04,141.23,-5.58
April-26,ALIGARH,EUDC ALIGARH,DIV211214,EUDD IV ALIGARH,24.62,18.49,24.9,1415.17,1842.44,130.19,2.23,7.48,9.96,0.76,75.94,234.88,309.31,-132.29,17.74,1339.24,1607.56,120.04,9.85
April-26,BANDA,EDC BANDA,DIV243913,EDD ATARRA,25.2,19.34,23.27,847.91,631.45,74.47,42.86,2.51,3.27,2.06,175.08,136.57,78.01,40.15,17.28,672.83,494.88,73.55,43.56
April-26,BANDA,EDC BANDA,DIV243914,"EDD BABERU, BANDA",23.67,22.21,6.2,1045.86,582.95,55.74,47.72,2.46,2.63,2.88,468.54,306.02,65.31,38.74,19.33,577.32,276.94,47.97,55
April-26,BANDA,EDC BANDA,DIV243911,EUDD BANDA,23.7,20.24,14.59,1251.01,1125.83,89.99,23.14,4.75,5.56,2.66,241.56,0,0,100,17.59,1009.46,1125.83,111.53,4.74
April-26,BANDA,EDC CHITRAKOOT,DIV243921,EDD CHITRAKOOT DHAM,22.1,19.8,10.39,1131.64,1138.13,100.57,9.88,5.15,5.75,2.28,227.66,298.61,131.17,-17.54,17.53,903.99,839.51,92.87,16.78
April-26,BANDA,EDC CHITRAKOOT,DIV243922,"EDD RAJAPUR, CHITRAKOOT",17.73,14.73,16.91,520.69,153.24,29.43,75.55,0.86,1.04,2.05,188.23,0,0,100,12.67,332.46,153.24,46.09,61.7
April-26,BANDA,EDC HAMIRPUR,DIV243721,EDD HAMIRPUR,32.14,29.17,9.22,1549.05,1409.13,90.97,17.42,4.38,4.83,2.97,275.74,65.6,23.79,78.4,26.2,1273.31,1343.52,105.51,4.21
April-26,BANDA,EDC HAMIRPUR,DIV243723,EDD RATH,25.58,21.49,15.99,638.38,481.03,75.35,36.7,1.88,2.24,0.59,62.36,28.64,45.93,61.42,20.9,576.02,452.39,78.54,34.02
April-26,BANDA,EDC MAHOBA,DIV243711,EDD I MAHOBA,17.75,12.82,27.78,840.98,731.94,87.03,37.14,4.12,5.71,1.43,123.26,0,0,100,11.38,717.72,731.94,101.98,26.35
April-26,BANDA,EDC MAHOBA,DIV243712,"EDD KULPAHAR, MAHOBA",31.8,26.16,17.74,1388.9,973.63,70.1,42.34,3.06,3.72,1.96,170.93,4.9,2.87,97.64,24.19,1217.98,968.73,79.54,34.57
April-26,ETAH,EDC ETAH,DIV277034,"EDD PILUWA, ETAH",36.14,30.07,16.79,905.59,545.82,60.27,49.85,1.51,1.82,2.21,223.61,0,0,100,27.86,681.97,545.82,80.04,33.4
April-26,ETAH,EDC ETAH,DIV277032,"EDD JALESAR, ETAH",36.93,25.82,30.08,916.84,1261.95,137.64,3.76,3.42,4.89,1.21,113.46,206.43,181.94,-27.21,24.61,803.38,1055.52,131.39,8.14
April-26,ETAH,EDC ETAH,DIV277031,EUDD ETAH,14.38,11.21,22,943.43,1060.66,112.43,12.31,7.38,9.46,0.71,68.43,0,0,100,10.5,875,1060.66,121.22,5.45
April-26,ETAH,EDC HATHRAS,DIV271321,EDD I HATHRAS,17.35,13.4,22.78,1223.41,1345.83,110.01,15.05,7.76,10.05,0.7,67.41,93.51,138.72,-7.12,12.69,1156,1252.32,108.33,16.35
April-26,ETAH,EDC HATHRAS,DIV271322,"EDD ODHPURA, HATHRAS",30.49,22.15,27.33,1020.29,948.67,92.98,32.43,3.11,4.28,0.12,16.23,29.54,182.08,-32.31,22.04,1004.07,919.13,91.54,33.48
April-26,ETAH,EDC HATHRAS,DIV271323,"EDD SASNI, HATHRAS",42.95,35.08,18.33,1941.8,2044.38,105.28,14.02,4.76,5.83,0.58,52.44,0,0,100,34.5,1889.36,2044.38,108.2,11.63
April-26,ETAH,EDC HATHRAS,DIV271324,"EDD SADABAD, HATHRAS",33.43,26.56,20.55,1468.35,1240.98,84.52,32.85,3.71,4.67,0.1,13.59,0,0,100,26.45,1454.76,1240.98,85.31,32.23
April-26,ETAH,EDC KASGANJ,DIV272153,EDD KASGANJ,23.6,19.73,16.42,1107.41,1385.98,125.16,-4.61,5.87,7.03,0.64,53.73,0,0,100,19.09,1053.68,1385.98,131.54,-9.94
